Profile,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Name,,Santa Maria Basin,Tehachapi Mountains,Great Valley,Ophiolitic Terranes,Sierra Nevada Batholith,Continental Borderland,Ventura Basin,Los Angeles Basin,W Mojave,China Lake Basin,Eastern California Shear Zone,E Mojave,Peninsular Range Batholith,Salton Trough,Proterozoic Terranes
,-36.0,7931.670154,7854.169343,7627.06955,7789.395202,7211.659673,7700.732972,8010.112749,7952.575217,7992.168451,7771.275094,7781.515133,7721.098116,6872.139408,7814.372968,7838.835659
,-35.5,7916.532661,7850.671745,7628.328193,7788.906644,6890.238381,7704.055671,8007.147451,7948.362872,7983.696624,7766.165256,7769.581711,7719.404867,6862.75752,7797.318262,7835.220884
,-35.0,7898.713299,7844.235652,7629.237686,7791.396571,6691.906267,7707.220846,8001.592949,7944.508927,7983.044391,7773.915394,7764.047082,7721.324975,6852.606574,7777.767017,7831.403822
,-34.5,7881.300288,7838.673249,7629.970554,7794.047163,6630.495952,7710.574406,7995.851126,7939.977009,7981.997762,7781.805617,7758.243629,7723.406094,6842.732987,7758.235429,7827.659758
,-34.0,7863.16268,7820.04015,7630.274248,7802.494575,6597.316217,7713.403614,7986.031915,7934.878116,7984.829331,7801.225144,7754.722507,7729.318524,6833.183533,7736.200988,7824.230015
,-33.5,7845.107151,7801.673556,7630.579296,7810.972561,6564.400177,7716.227682,7976.244856,7929.221476,7987.569366,7820.757197,7751.187393,7735.265398,6823.868881,7714.278908,7820.803849
,-33.0,7829.163995,7751.941142,7630.518554,7825.431088,6540.450481,7718.777305,7961.148216,7921.289954,7977.967339,7841.096713,7737.679862,7744.10366,6814.787213,7690.555855,7818.571765
,-32.5,7813.28832,7613.569485,7630.463502,7483.264614,6516.723256,7721.310523,7946.062691,7913.211522,7967.332807,7861.627082,7724.213099,7752.982253,6805.863479,7666.966044,7816.349804
,-32.0,7802.08727,7326.09316,7630.982718,6937.178862,6499.202007,7723.811707,7931.31303,7901.785586,7883.358804,7860.036909,7609.571799,7760.65278,6797.447116,7642.6089,7815.878554
,-31.5,7790.923364,6939.963825,7592.788677,6866.699435,6481.811692,7726.246317,7916.521077,7890.303933,7733.897812,7856.837901,7201.404963,7768.353998,6789.153676,7618.401146,7815.407582
,-31.0,7785.976728,6624.518981,7318.456982,6884.616551,6466.493249,7728.79243,7914.386894,7875.099927,7461.775021,7708.384717,6611.153164,7764.385144,6781.509904,7595.577616,7816.758539
,-30.5,7781.080796,6484.863872,6949.308754,6899.970111,6442.296905,7731.346117,7912.588508,7860.124479,7203.694371,7333.738808,6541.721296,7693.936182,6761.370215,7572.879389,7818.115609
,-30.0,7781.753218,6444.899627,6768.245767,6910.53283,6417.433556,7733.249623,7841.068197,7843.975625,6978.218923,6598.324875,6515.172022,7024.23594,6742.900911,7554.103237,7819.241953
,-29.5,7736.5889,6405.235252,6776.669769,6922.319431,6392.934583,7684.633291,7440.719519,7776.475544,6706.128293,6515.939516,6486.902191,6743.488108,6724.037974,7485.643141,7774.106671
,-29.0,7696.726517,6391.613591,6786.745852,6932.767509,6368.240865,7635.999443,6882.235352,7703.01386,6660.686144,6473.627386,6476.665336,6707.032933,6707.727378,7420.272403,7727.714387
,-28.5,7656.785702,6377.819196,6796.808674,6943.291292,6343.723299,7587.354121,6788.904233,7630.804129,6635.691388,6431.685798,6466.400469,6696.108074,6691.689458,7355.2201,7681.271522
,-28.0,7616.464567,6378.451096,6805.701457,6955.145536,6321.077336,7538.648105,6798.570188,7538.312664,6632.446025,6401.779554,6464.852222,6692.075517,6679.92917,7295.398485,7633.032987
,-27.5,7553.791411,6379.022299,6814.605829,6967.098274,6298.59474,7489.961326,6808.204675,7403.335029,6628.966997,6372.005636,6463.262884,6688.040388,6668.963483,7235.795183,7584.7691
,-27.0,7020.444141,6386.091126,6823.401484,6981.299469,6279.514706,7440.496682,6798.803356,7235.113426,6635.385171,6344.685029,6464.524517,6687.619243,6663.277955,7183.062507,7532.895471
,-26.5,6853.453033,6393.200634,6832.206532,6995.609396,6260.565363,7392.074598,6789.735721,7048.348239,6641.550384,6317.487862,6465.743376,6687.217147,6657.997659,7130.44807,7481.048824
,-26.0,6855.741503,6401.742295,6841.847689,7012.22391,6244.858785,7884.840792,6776.850461,6882.937712,6651.658589,6287.201934,6466.840035,6689.840185,6656.655171,7086.641096,7414.197924
,-25.5,6858.227997,6408.209812,6851.52917,7028.851726,6229.168262,7885.847616,6764.059466,6825.790381,6658.702276,6256.855186,6467.218816,6692.630031,6656.316867,7045.747182,6765.959358
,-25.0,6850.519796,6416.717424,6861.858074,7046.79915,6214.781588,7890.851669,6759.999731,6845.046797,6671.499646,6226.231603,6468.37406,6698.376744,6656.909542,7016.190619,6756.906248
,-24.5,6842.277128,6424.623379,6872.668074,7066.064464,6201.256482,7896.597386,6756.911073,6860.105125,6685.328362,6198.12679,6469.813549,6704.32579,6657.819073,6991.861772,6748.500358
,-24.0,6820.568931,6424.578697,6884.075206,7088.030381,6190.535786,7900.305905,6765.391219,6888.024998,6693.050861,6168.491942,6464.813187,6711.292057,6659.268078,6980.598724,6745.224544
,-23.5,6799.027862,6424.281084,6895.487486,7110.207416,6179.873237,7904.019116,6773.970823,6916.117324,6700.539077,6138.909673,6459.742368,6718.302664,6660.653106,6982.897636,6741.961092
,-23.0,6766.190873,6423.808255,6907.297224,7133.585033,6176.3807,7908.202722,6794.662418,6954.274072,6706.971242,6117.669627,6455.946617,6730.085183,6662.623318,7008.528585,6742.290358
,-22.5,6733.703245,6423.138339,6919.109412,7157.171423,6172.938304,7912.389554,6815.16095,6993.289389,6713.160085,6094.155767,6452.077255,6741.951745,6664.657693,7052.161845,6742.619423
,-22.0,6695.740165,6428.297086,6930.519246,7181.373629,6179.009965,7916.625813,6841.628401,7034.600334,6715.525479,6084.163699,6449.904767,6758.091499,6667.34787,7318.997697,6743.960865
,-21.5,6656.756747,6474.518512,6925.063883,7203.232799,6182.746255,7824.667878,6830.803245,7048.354633,6682.746213,6076.11461,6438.974814,6762.733353,6702.442149,7333.400511,6742.188285
,-21.0,6618.468543,6526.568693,6918.809658,7225.42035,6196.06604,7731.964245,6822.389619,7056.270588,6645.311123,6084.72005,6431.131769,6771.030338,6736.472426,7335.644298,6739.86115
,-20.5,6580.839592,6579.168785,6912.591107,7247.736121,6209.454583,7639.216571,6813.792687,7064.280746,6607.582007,6093.668178,6423.323714,6779.326578,6770.674441,7337.787155,6737.539339
,-20.0,6548.82471,6624.028474,6905.803156,7270.276628,6228.206371,7545.35654,6808.116186,7066.293433,6572.109277,6118.463829,6419.488005,6791.505925,6796.747989,7341.733064,6735.028412
,-19.5,6517.132599,6669.426636,6898.937386,7293.100177,6247.060231,7451.541419,6802.371626,7067.998531,6536.235163,6143.587935,6415.753449,6803.793456,6822.995352,7345.708501,6732.600488
,-19.0,6494.657366,6685.491511,6890.571353,7315.843468,6263.242011,7356.041434,6799.61684,7058.712241,6502.173702,6180.880623,6413.831519,6815.995252,6837.093441,7346.861653,6730.091465
,-18.5,6472.459977,6701.224583,6882.230773,7338.723845,6279.538285,7260.545271,6796.36271,7049.194206,6467.792015,6218.812868,6411.991415,6828.223864,6851.156351,7348.067397,6727.592884
,-18.0,6454.432503,6652.296678,6854.8501,7355.015502,6279.886228,7146.350927,6787.048397,7010.398581,6416.191392,6246.897966,6403.235902,6820.059954,6857.407974,7332.471876,6714.960577
,-17.5,6410.509223,6556.346144,6772.58985,7351.430331,6264.244979,7009.539881,6744.95526,6952.895356,6345.921661,6247.662611,6387.842307,6784.383741,6863.019431,7296.431134,6676.905509
,-17.0,6365.806151,6373.450557,6666.920296,7338.011588,6233.524875,6889.562361,6704.48431,6878.356382,6261.254398,6217.681338,6365.323141,6716.204164,6854.962884,7248.273437,6622.967612
,-16.5,6318.863464,6216.826551,6582.903049,7323.443626,6204.790838,6785.113303,6668.596578,6807.888105,6183.551096,6189.85897,6345.363041,6651.299258,6842.280573,7201.705594,6568.656044
,-16.0,6269.210384,5970.223902,6463.373222,7293.112238,6159.864625,6687.747166,6616.704994,6715.223929,6086.18669,6119.046059,6299.523287,6526.830854,6824.35514,7132.74742,6493.372238
,-15.5,6214.745098,5781.957047,6375.298001,7261.286713,6118.399373,6605.122953,6571.388347,6627.067024,6001.849254,6053.593922,6256.539369,6414.708681,6802.409458,7061.632499,6419.920338
,-15.0,6170.641669,5674.244687,6298.319881,7238.443249,6083.167859,6539.441499,6539.951995,6547.660261,5968.070161,6023.192353,6219.861907,6332.964198,6773.960288,6991.005682,6354.86516
,-14.5,6132.078051,5582.970903,6248.35674,7223.361619,6054.861726,6490.873591,6519.10897,6475.42699,5944.996894,6004.628124,6186.950346,6265.010319,6742.412845,6923.690554,6297.976078
,-14.0,6115.335855,5575.020884,6217.391303,7204.096559,6035.838162,6451.597078,6497.596667,6421.563199,5969.747974,6028.088116,6155.003649,6216.834421,6710.499362,6868.28173,6250.076117
,-13.5,6110.131872,5576.526255,6201.16692,7190.124802,6023.453418,6425.40396,6498.154444,6378.833233,6002.821976,6061.652188,6127.604325,6178.415752,6679.403068,6826.157697,6212.379369
,-13.0,6110.486178,5643.627943,6196.371957,7163.256909,6025.457897,6390.737724,6476.87549,6354.156644,6048.389996,6117.3606,6089.171196,6152.659208,6652.719258,6787.27712,6175.069073
,-12.5,6102.989885,5729.291699,6201.068693,7136.315563,6026.85281,6373.519669,6440.087751,6334.484756,6115.280265,6175.28228,6055.791203,6129.116582,6621.99807,6748.731257,6138.366205
,-12.0,6087.729585,5852.954591,6184.121634,7074.242399,6049.515994,6355.258478,6403.279677,6355.598212,6192.976424,6243.26451,6031.637662,6111.335206,6599.325202,6731.929792,6101.235179
